Variável,Dado
Conclusão," A pesquisa demonstrou que esses estudantes possuem quatro alternativas diferentes de deslocamento, que são: primeiramente através do ônibus que sai da Ceilândia e vai diretamente para o campus Darcy, a segunda é a de pegar o metro na Ceilândia, ir até a Rodoviária do Plano Piloto e lá pega um ônibus que irá para o campus, a terceira forma é indo de intercampi, que é um ônibus fornecido pela UnB que liga o campus Darcy Ribeiro ao campus da Ceilândia, como uma forma de integrar os campi, e a quarta alternativa, é o uso de transporte privado, ou seja, o carro."
Palavras-Chave," Palavras-chaves: Estudantes,trajetos cotidianos, trajetórias biográficas, Motilidade, Transporte, Universidade de Brasília. "
Colaboradores, Cristina Patriota de Moura (orientadora)
Efeito da calagem na mineralização de resíduos orgânicos adicionados ao solo,TituloTrabalho
Bolsista, Larissa Gomes Araújo
Unidade Acadêmica, Agronomia e Medicina Veterinária 
Instituição, UnB
Orientador (a), CICERO CELIO DE FIGUEIREDO
Introdução," A mineralização da matéria orgânica é um processo-chave de regulação da ciclagem de nutrientes no solo. O uso de resíduos orgânicos constitui uma excelente opção para melhoria da qualidade do solo, com reflexos positivos na produção agrícola. Com a adição ao solo de materiais ricos em carbono orgânico, como o esterco de ovino e a cama de frango parte é utilizada pelos microrganismos como fonte de energia, o que promove aumento na atividade microbiológica e conseqüente liberação de CO2. O aumento do pH em solos ligeiramente ácidos promove aumento da taxa de mineralização de carbono orgânico do solo. Para solos tipicamente ácidos como os Latossolos do Cerrado ainda são poucos os trabalhos que demonstrem a relação entre correção da acidez e a dinâmica da mineralização de carbono após a aplicação de materiais diversos contendo carbono. O objetivo deste trabalho foi avaliar a dinâmica de mineralização de quatro materiais orgânicos adicionados com e sem correção da acidez do solo."
Metodologia," Foram utilizadas amostras de um Latossolo Vermelho-Amarelo, pertencente à Fazenda Água Limpa da Universidade de Brasília. O solo foi coletado da camada de 0-20 cm de profundidade. Uma alíquota da terra coletada foi incubada após a aplicação de calcário. Outra alíquota foi mantida com a composição química original (sem aplicação de calcário). Os tratamentos se constituíram da aplicação ao solo (com e sem correção) dos seguintes materiais orgânicos: 1) Esterco de ovino, 2) Cama de frango, 3) Borra de café, e 4) Material húmico. Amostra de solo sem adição de material orgânico foi utilizada como controle. As amostras foram incubadas por 77 dias. A mineralização do carbono foi obtida pela quantidade de CO2 liberado pela respiração microbiana do solo. Foram determinadas a taxa de mineralização de carbono e a liberação acumulada de carbono ao final da incubação. Os resultados foram submetidos a análise de variância e as médias foram comparadas pelo teste de Tukey a 5% de significância."
Resultados," Independente da correção ou não do solo, a cama de frango e a borra de café apresentaram as maiores taxas de mineralização do carbono (TMC) durante todo o período de incubação. O material húmico não promoveu aumento de aumento de liberação acumulada de carbono (LAC), apresentando valores semelhantes ao controle (solo). Apenas para a cama de frango e o material húmico, a correção do solo promoveu maiores valores de LAC. O solo com acidez corrigida apresentou TMC superior ao solo sem correção da acidez apenas nos primeiros 27 dias de incubação. Ao final do período de incubação, aos 77 dias, houve inversão, verificando-se maiores valores de TMC sem correção (6,8 mg C-CO2 kg-1 solo) do que com correção da acidez (4,6 mg C-CO2 kg-1 solo)."
Conclusão," Independente da correção ou não do solo, a cama de frango e a borra de café apresentaram as maiores taxas de mineralização do carbono (TMC) durante todo o período de incubação. O material húmico não promoveu aumento de aumento de liberação acumulada de carbono (LAC), apresentando valores semelhantes ao controle (solo). Apenas para a cama de frango e o material húmico, a correção do solo promoveu maiores valores de LAC. O solo com acidez corrigida apresentou TMC superior ao solo sem correção da acidez apenas nos primeiros 27 dias de incubação. Ao final do período de incubação, aos 77 dias, houve inversão, verificando-se maiores valores de TMC sem correção (6,8 mg C-CO2 kg-1 solo) do que com correção da acidez (4,6 mg C-CO2 kg-1 solo)."
Palavras-Chave," Respiração microbiana, esterco de ovino, borra de café, material húmico. "
Colaboradores, Luiz Eduardo Celino Benedito
Síntese e Avaliação Farmacológica de Chalconas e seus Derivados,TituloTrabalho
Bolsista, Larissa Gonçalves Maciel
Unidade Acadêmica, Química 
Instituição, UnB
Orientador (a), WENDER ALVES DA SILVA
Introdução," Chalconas (1,3-diaril-2-propen-1-onas) são definidas como cetonas a,ß-insaturadas, onde tanto a carbonila quanto o fragmento olefínico estão ligados a anéis aromáticos, apresentando vários estudos de isolamento, identificação e investigação de propriedades biológicas, com um amplo espectro de utilização. Como exemplo, destacam-se estudos de atividade multi-biológicas como anti-inflamatórios, anti- pirético, efeitos anti-mutagênicos, atividade anti-tumoral, citotóxicos e atividade antioxidante in vitro e in vivo. Em particular, as chalconas apresentam vários graus de inibição na proliferação de células e demonstram propriedades anticancerígenas. A síntese de chalconas para uso em ensaios terapêuticos ainda é um campo inesgotável e apresenta mecanismos obscuros de toxicidade. Assim, a síntese e identificação de várias chalconas e seus derivados se tornam importantes para o desenvolvimento de uma nova classe de compostos com atividade terapêutica."
Metodologia," Após a escolha dos substratos, dar-se-á inicio às reações de sínteses de nove chalconas que são facilmente obtidas através da reação de condensação aldólica tipo Claisen-Schmidt, entre aldeídos e cetonas aromáticas substituídas com diferentes grupos substituintes, bem como anéis heteroaromáticos, com intenção de avaliar suas interferências em células tumorais. As linhagens tumorais utilizadas foram MDAMB-435 (Melanoma - Humano), HCT-8 (Cólon - Humano) e SF-295 (Sistema Nervoso - Humano), foram cedidas pelo Instituto Nacional do Câncer (EUA), sendo cultivadas em meio RPMI 1640, suplementados com 10% de soro fetal bovino e 1% de antibióticos, mantidas em estufa a 37 °C e atmosfera contendo 5% de CO2. As chalconas e seus análogos foram diluídas em DMSO puro estéril fornecendo soluções com concentrações de 50µg/mL. Em uma triagem inicial, foram definidas quatro concentrações diferentes para cada chalcona e o efeito de cada uma delas medido em intervalos de 24, 48 e 72 horas."
Resultados," Através da análise do ensaio colorimétrico todas chalconas apresentaram respostas as doses retardando o crescimento nas linhagens tumorais estudadas. Em especial quatro chalconas se mostraram mais promissora tomando como base um cut off de 75% de inibição do crescimento celular (GI%) em pelo menos uma das células tumorais. Em alguns casos com grau de inibição de mais de 90%, nessas moléculas a presença de grupos doadores no anel aromático derivado da cetona, chama a atenção, isso sugere a importância desses substituintes no mecanismo de ação frente as células tumorais."
Conclusão," Através da análise do ensaio colorimétrico todas chalconas apresentaram respostas as doses retardando o crescimento nas linhagens tumorais estudadas. Em especial quatro chalconas se mostraram mais promissora tomando como base um cut off de 75% de inibição do crescimento celular (GI%) em pelo menos uma das células tumorais. Em alguns casos com grau de inibição de mais de 90%, nessas moléculas a presença de grupos doadores no anel aromático derivado da cetona, chama a atenção, isso sugere a importância desses substituintes no mecanismo de ação frente as células tumorais."
Palavras-Chave," Chalconas, Citotoxicidade, Câncer"
Colaboradores," João Vitor Moraes Silva, Cintia D. Borges(PG), Guilherme R. Oliveira (PQ), Caridad N. Pérez(PQ), Manoel O. Moraes(PQ), Aline B. Sbardelotto(PQ)"
Avaliação antropométrica e clínico nutricional de pacientes com tumores gastrointestinais no Hospital Universitário de Brasília.,TituloTrabalho
Bolsista, Larissa Helena de Lima Brasil
Unidade Acadêmica, Nutrição 
Instituição, UnB
Orientador (a), NATHALIA MARCOLINI PELUCIO PIZATO VALERIO
Introdução," No Brasil, as neoplasias malignas são a segunda causa de morte na população, representando quase 17% dos óbitos de causa conhecida, notificados em 2007 no Sistema de Informações sobre Mortalidade. Em pacientes com câncer, ocorrem diversas alterações metabólicas que levam ao quadro de catabolismo e, conseqüentemente, ao desenvolvimento da síndrome da caquexia, a qual está associada a diversas manifestações como perda de peso com depleção severa de musculatura esquelética e tecido adiposo, aumento do gasto energético e piora na qualidade de vida dos pacientes. Com isso, há graves pioras no estado nutricional dos pacientes, com diminuição da sobrevida e piora da resposta ao tratamento. Nesse contexto, o presente estudo tem como objetivo avaliar o estado nutricional dos pacientes do Hospital Universitário de Brasília (HUB) com diagnóstico recente de CA do trato gastrointestinal e glândulas anexas, segundo os parâmetros de antropometria e avaliação clínico-nutricional."
Metodologia," Trata-se de um estudo descritivo transversal. A coleta de dados ocorreu entre agosto de 2011 e maio de 2012. Os participantes foram pacientes internados nas Clínicas, Cirúrgica ou Médica do HUB, com diagnóstico recente de câncer do trato gastrointestinal ou de glândulas anexas. O Termo de Consentimento Livre e Esclarecido foi entregue aos participantes da pesquisa antes de iniciar a coleta de dados. Os dados antropométricos aferidos foram peso, altura, prega tricipital cutânea (PCT), circunferência do braço (CB) e circunferência muscular do braço (CMB). Também foram calculados o peso seco, percentual de perda ponderal e Índice de Massa Corporal (IMC). A avaliação clínico- nutricional foi realizada observando se havia depleção de tecido muscular ou adiposo, edema, cabelos secos ou quebradiços, palidez conjuntival, xerose, unhas quebradiças e mucosite. Os dados foram tabulados para a realização de análises descritivas."
Resultados," A amostra totalizou 45 participantes, sendo a maioria do sexo masculino (62%, n= 28) e da clínica cirúrgica (53,3%, n=24). Houve maior prevalência de idosos, entre 61 a 84 anos (57,7%, n=26). Os casos de CA mais prevalentes foram CA gástrico (31,1%, n= 14) e CA de cólon (24,4%, n= 11). Grande parte dos pacientes apresentou grave perda ponderal recente (40%, n=18). Em relação ao IMC, a maioria dos participantes foram classificados como eutróficos (48,8%, n=22), seguidos de desNutrição (31,1%, n=14) e obesidade (20%, n=9). Quanto à massa muscular, 57,7%, n=26 apresentaram sinais de depleção, sendo que 55,5%, n= 25 apresentaram valores para desNutrição na adequação da CB e CMB. Em relação ao tecido adiposo, 37,7%, n=17 apresentaram sinais de depleção, sendo que 82,2%, n=37 apresentaram valores para desNutrição na adequação da PCT. Dentro dos sinais clínicos manifestados, palidez conjuntival e xerose foram os mais predominantes, 51%, n=23 e 60%, n=27, respectivamente."
Conclusão," A amostra totalizou 45 participantes, sendo a maioria do sexo masculino (62%, n= 28) e da clínica cirúrgica (53,3%, n=24). Houve maior prevalência de idosos, entre 61 a 84 anos (57,7%, n=26). Os casos de CA mais prevalentes foram CA gástrico (31,1%, n= 14) e CA de cólon (24,4%, n= 11). Grande parte dos pacientes apresentou grave perda ponderal recente (40%, n=18). Em relação ao IMC, a maioria dos participantes foram classificados como eutróficos (48,8%, n=22), seguidos de desNutrição (31,1%, n=14) e obesidade (20%, n=9). Quanto à massa muscular, 57,7%, n=26 apresentaram sinais de depleção, sendo que 55,5%, n= 25 apresentaram valores para desNutrição na adequação da CB e CMB. Em relação ao tecido adiposo, 37,7%, n=17 apresentaram sinais de depleção, sendo que 82,2%, n=37 apresentaram valores para desNutrição na adequação da PCT. Dentro dos sinais clínicos manifestados, palidez conjuntival e xerose foram os mais predominantes, 51%, n=23 e 60%, n=27, respectivamente."
Palavras-Chave," Avaliação Nutricional, Câncer gastrointestinal, Antropometria e Avaliação Clinico-nutricional "
Colaboradores, Beatriz Cristina Luzete
Prevalência de quedas e seu contexto de ocorrência entre idosos atendidos na Regional de saúde de Ceilândia(DF).,TituloTrabalho
Bolsista, Larissa Israela Bastos Romualdo
Unidade Acadêmica, Fisioterapia 
Instituição, UnB
Orientador (a), RUTH LOSADA DE MENEZES
Introdução," As quedas em idosos são consideradas um importante problema de saúde pública, em função de sua incidência, complicações e custos ao sistema de saúde. Esses agravos estão associados às perdas da autonomia e da independência do idoso por estarem diretamente relacionados a fraturas, traumas, dor, incapacidades e perda da confiança. É conhecido que as quedas possuem origem multifatorial, não sendo possível isolar um único fator como determinante para seu acontecimento. As quedas recorrentes são frequentemente atribuídas a fatores intrínsecos, enquanto que as quedas esporádicas têm maior associação com fatores ambientais e diminuição da atenção. Este estudo tem como objetivo identificar a prevalência de quedas em idosos nos últimos doze meses e identificar o contexto de ocorrência destes eventos adversos."
Metodologia," Estudo descritivo transversal com amostra composta de idosos com 60 anos ou mais, de ambos os gêneros. Os idosos foram recrutados em grupos de idosos vinculados a programas dos três níveis atenção da Regional de Saúde de Ceilândia, DF. Os critérios de inclusão e exclusão empregados foram detalhados no projeto maior, no qual este projeto está inserido. Em formulário próprio para a pesquisa foram registrados os episódios de queda, referentes aos incidentes ocorridos nos doze últimos meses da entrevista com os mesmos. A queda foi auto- relatada pelos idosos. O contexto de ocorrência do episódio de queda abordou: período do dia de ocorrência, lugar (cômodo) onde caiu, atividade que realizava quando caiu, superfície onde caiu, estado da superfície (molhado/seco), tropeço ou não em obstáculo, tipo de obstáculo, tipo de calçado que usava quando da queda e ocorrência de fratura como consequência da queda. Foi utilizada análise estatística descritiva com o Office Excel."
Resultados," Foram avaliados 61 idosos com idade média de 69,5 (±5,8) para homens e de 68,68 (±5,44) para mulheres, sendo 20 homens (32%) e 41 mulheres (68%). A prevalência de quedas entre os idosos avaliados foi de 36% (n=22), com destaque para as mulheres (n=19/86%). Em relação ao total de caidores, 59% relataram uma queda no último ano, 23% duas quedas e 18% três quedas ou mais. Nas faixas etárias entre 60 a 69 anos, 70 a 79 anos e 80 anos ou mais foram registradas as seguintes médias de quedas, respectivamente: 0,468 (±0,80), 0,64 (±0,95) e 1,0 (±1,41). Importante porcentagem dos idosos (45,45%) relatou ter caído no período da manhã. No que diz respeito ao local da queda, 50% relataram ter caído na área externa ao domicílio. Quanto à atividade do idoso no momento da queda, 68,18% dos idosos estavam andando normalmente, sem tropeços (59,09%), em superfície de cerâmica, ladrilho ou mármore (40,91%) e seca (68,18%). Em relação ao tipo de calçado utilizado, o chinelo foi o mais utilizado (45,45%)."
Conclusão," Foram avaliados 61 idosos com idade média de 69,5 (±5,8) para homens e de 68,68 (±5,44) para mulheres, sendo 20 homens (32%) e 41 mulheres (68%). A prevalência de quedas entre os idosos avaliados foi de 36% (n=22), com destaque para as mulheres (n=19/86%). Em relação ao total de caidores, 59% relataram uma queda no último ano, 23% duas quedas e 18% três quedas ou mais. Nas faixas etárias entre 60 a 69 anos, 70 a 79 anos e 80 anos ou mais foram registradas as seguintes médias de quedas, respectivamente: 0,468 (±0,80), 0,64 (±0,95) e 1,0 (±1,41). Importante porcentagem dos idosos (45,45%) relatou ter caído no período da manhã. No que diz respeito ao local da queda, 50% relataram ter caído na área externa ao domicílio. Quanto à atividade do idoso no momento da queda, 68,18% dos idosos estavam andando normalmente, sem tropeços (59,09%), em superfície de cerâmica, ladrilho ou mármore (40,91%) e seca (68,18%). Em relação ao tipo de calçado utilizado, o chinelo foi o mais utilizado (45,45%)."
Palavras-Chave," Acidentes por Quedas, Idoso, Epidemiologia."
Colaboradores," Beatriz Domingues Coelho, Glauciane Augusto Pessoa, Milene Soares Nogueira de Lima, Marina Oliveira de Lacerda Abreu, Priscilla Cristine dos Santos, Fernanda Pains Vieira dos Santos, Larissa de Lima Borges."
Oferta Pública de Ações e Mercado Acionário,TituloTrabalho
Bolsista, Larissa Lorena Lopes e Vasconcelos dos Santos
Unidade Acadêmica, Ciências Contábeis 
Instituição, UnB
Orientador (a), CESAR AUGUSTO TIBURCIO SILVA
Introdução," Por mais que a abertura de capital seja cara devido à adaptação da companhia ao mercado e à contratação de especialistas para viabilizar a realização da oferta da ação, ela permite obter novas fontes de financiamento e crescimento (Tirole, 2006). Segundo Casagrande Neto (2000), um dos aspectos positivos em uma abertura de capital bem elaborada é o aprimoramento da imagem institucional da companhia para seus clientes e fornecedores, e seu aumento da capacidade de negociação. Neste cenário, as empresas procuram lançar suas ações no mercado em momentos de otimismo na economia e no comportamento do mercado acionário, quando há uma perspectiva positiva quanto ao retorno de recursos que a OPA trará. Observando esse comportamento, o objetivo desse trabalho é verificar se o número e o valor das OPAs possuem relação com o retorno do mercado acionário como um todo."
Metodologia," Trata-se de um trabalho quantitativo. Numa primeira etapa será obtido o número e valor das OPAs, de 2002 a 2011. Esta informação está disponível no sítio da Comissão de Valores Mobiliários, entidade responsável pela regulação do mercado de ações no Brasil. Ao mesmo tempo será obtido o comportamento do mercado, expresso através do índice da Bolsa de Valores de São Paulo. Com esta variável será calculado o retorno e a volatilidade do mercado, através da metodologia Riskmetrics (CHRISTOFFERSEN, 2003). Esta metodologia é bastante conhecida na literatura financeira. Com estas informações, pretende-se determinar a seguinte relação entre as variáveis: Sendo N"
"= número de OPAs no tempo t, R = retorno do mercado, = volatilidade,  = erro da expressão, V = volume, em reais, das OPAs no tempo t.  Se os coeficientes angulares da expressão forem significativos, isto indicará que o retorno e a volatilidade influenciam o número de ofertas e seu volume. Como a relação temporal pode admit",TituloTrabalho
Resultados, Os resultados ainda estão sendo processados. 
Conclusão, Os resultados ainda estão sendo processados. 
Palavras-Chave, OPA - mercado acionário 
Colaboradores,
Bebida a base de quinoa real e leite de coco - análise sensorial,TituloTrabalho
Bolsista, Larissa Mazocco
Unidade Acadêmica, Nutrição 
Instituição, UnB
Orientador (a), RENATA PUPPIN ZANDONADI
Introdução," A incidência de reações adversas aos alimentos está crescendo a cada ano. Um dos alimentos que mais desencadeia essas reações em humanos é o leite de vaca (tanto reações alérgicas às proteínas quanto a intolerância à lactose), seguido da soja (principal substituto para o leite de vaca no mercado). Muitos produtos presentes no mercado apresentam em sua composição leite de vaca ou soja, limitando muito o consumo dos indivíduos que apresentam reações a estes alimentos. Ademais, o extrato hidrossolúvel de soja apresenta características sensoriais de cor, sabor e textura muito diferentes das encontradas no leite de vaca para ser utilizada como substituto em preparações. Portanto, é necessário buscar outras alternativas para substituir o leite de vaca e que se assemelhem em relação às características nutricionais e sensoriais. Assim, o objetivo deste trabalho foi desenvolver uma bebida vegetal à base de quinoa e coco, que apresente características sensoriais semelhantes à do leite de vaca."
Metodologia," Trata-se de um estudo transversal exploratório quantitativo subdividido em três etapas: desenvolvimento da bebida, análise sensorial e análise da composição química. Para a primeira etapa foi realizado o desenvolvimento da bebida por meio da utilização de: quinoa, leite de coco, água de coco e emulsificante (à base de água, propileno glucol, estereato de potássio, emulsificantes de ácidos graxos e pester de poliglicerol). Posteriormente foi realizada a análise sensorial por meio de escala hedônica de nove pontos e de escala de atitude, com 50 provadores não treinados recrutados aleatoriamente entre estudantes da Universidade de Brasília. Após a análise sensorial for realizado o cálculo da média de aceitação e do percentual de aceitação da amostra e foi realizada avaliação da composição química do produto por meio da Tabela Brasileira de composição de alimentos (TACO, 2010)."
Resultados," Verificou-se por meio da escala hedônica que a média de aceitação foi de 4,45 e o percentual de aceitação foi de 42%, sendo que, para ser considerado um produto bem aceito, é considerado como pdrãoo percentual de aceitação é acima de 60%. Dos provadores avaliados, 71% não têm hábito de consumir bebidas vegetais. Porém, para a escala de atutide de compra, verificou-se que 59% dos indivíduos manifestaram que comprariam o produto. Os comentários adicionados ao questionário todos foram em relação ao fato de preferir que a bebida apresentasse sabor mais doce, embora não fosse o objetivo da. Constatou-se que a bebida vegetal, comparada ao leite de vaca, possui quantidades muito semelhantes de proteína, lipídio e vitamina C, porém não possui colesterol e sódio, importante para a saúde dos indivíduos, e há maior concentração de carboidratos totais (que não lactose), fibras totais, ferro, potássio, cobre, zinco, tiamina, riboflavina e piridoxina."
Conclusão," Verificou-se por meio da escala hedônica que a média de aceitação foi de 4,45 e o percentual de aceitação foi de 42%, sendo que, para ser considerado um produto bem aceito, é considerado como pdrãoo percentual de aceitação é acima de 60%. Dos provadores avaliados, 71% não têm hábito de consumir bebidas vegetais. Porém, para a escala de atutide de compra, verificou-se que 59% dos indivíduos manifestaram que comprariam o produto. Os comentários adicionados ao questionário todos foram em relação ao fato de preferir que a bebida apresentasse sabor mais doce, embora não fosse o objetivo da. Constatou-se que a bebida vegetal, comparada ao leite de vaca, possui quantidades muito semelhantes de proteína, lipídio e vitamina C, porém não possui colesterol e sódio, importante para a saúde dos indivíduos, e há maior concentração de carboidratos totais (que não lactose), fibras totais, ferro, potássio, cobre, zinco, tiamina, riboflavina e piridoxina."
Palavras-Chave," Intolerância, alergia, quinoa, coco, bebida vegetal, alimentos alternativos. "
Colaboradores,
Caracterizando o Contexto Organizacional da UnB,TituloTrabalho
Bolsista, Larissa Pedreira Durães
Unidade Acadêmica, Psicologia Social e do Trabalho 
Instituição, UnB
Orientador (a), CARLA SABRINA XAVIER ANTLOGA
Introdução," O trabalho é o lugar onde o indivíduo passa grande parte de sua vida e é o impulsionador de outras atividades na esfera social. Em função disso, autores enfatizam a emergente preocupação com a Qualidade de Vida no Trabalho (QVT), que pode gerar benefícios tanto aos profissionais quanto às organizações. A perspectiva da Ergonomia da Atividade Aplicada à Qualidade de Vida no Trabalho, adotada para este estudo, aponta a importância de se conhecer o Contexto de Trabalho de uma dada organização para compreender quais as características que impactam positiva ou negativamente na QVT dos indivíduos."
Metodologia," Visando identificar o contexto organizacional de um instituto federal de pesquisa, aplicou-se o Inventário de Avaliação de Qualidade de Via no Trabalho. Como instrumento, foi utilizada a versão eletrônica do Inventário de Avaliação de Qualidade de Vida no Trabalho (IA_QVT). O IA_QVT é composto por uma parte quantitativa (escala likert de 11 pontos com 61 itens) e outra qualitativa (4 questões abertas). A demanda pela pesquisa partiu da organização que tinha como meta desenvolver um programa de qualidade de vida no trabalho. A primeira etapa do diagnóstico foi uma campanha de sensibilização para aumentar o número de respondentes. O inventário ficou disponível para os respondentes em um site externo à organização durante 21 dias. Os dados quantitativos foram tratados no software SPSS, versão 18 e, para análise, foram geradas estatísticas descritivas. Participaram do estudo 275 trabalhadores, entre servidores, bolsistas, terceirizados e estagiários. Foi realizada uma sensibilização ante"
Resultados," O órgão onde foi realizada a pesquisa realiza atividades de pesquisa, fornecendo suporte técnico e institucional às ações do governo para formular e reformular políticas públicas e programas de desenvolvimento brasileiros. Por ser uma instituição pública, a efetividade organizacional é um ponto muito importante para o trabalho desses colaboradores. Observou-se que 34% do total de servidores e colaboradores responderam ao inventário. A maior participação foi de participantes do sexo masculino (65,11%). Destaca-se também o nível de escolaridade, com predomínio de nível superior completo (28,87%). Foi observado que há predomínio de qualidade de vida no trabalho, mas há também fatores na gestão organizacional que causam algumas representações de mal-estar. As médias das representações sobre as condições de trabalho, as relações socioprofissionais e o elo trabalho-vida social se encontram na faixa de bem-estar moderado. Já os fatores organização do trabalho e reconhecimento e crescimento"
Conclusão," O órgão onde foi realizada a pesquisa realiza atividades de pesquisa, fornecendo suporte técnico e institucional às ações do governo para formular e reformular políticas públicas e programas de desenvolvimento brasileiros. Por ser uma instituição pública, a efetividade organizacional é um ponto muito importante para o trabalho desses colaboradores. Observou-se que 34% do total de servidores e colaboradores responderam ao inventário. A maior participação foi de participantes do sexo masculino (65,11%). Destaca-se também o nível de escolaridade, com predomínio de nível superior completo (28,87%). Foi observado que há predomínio de qualidade de vida no trabalho, mas há também fatores na gestão organizacional que causam algumas representações de mal-estar. As médias das representações sobre as condições de trabalho, as relações socioprofissionais e o elo trabalho-vida social se encontram na faixa de bem-estar moderado. Já os fatores organização do trabalho e reconhecimento e crescimento"
Palavras-Chave," Qualidade de Vida no Trabalho, Contexto Organizacional, Bem-Estar, Mal-Estar, Instituto Federal de Pesquisa. "
Colaboradores," Profa. Dra. Carla Antloga, Izabela Pinheiro, Marina Maia"
Estudo do Kimberlito Juina-5," Petrografia, química Mineral e identificação de xenólitos mantélicos"
Bolsista, Larissa Vieira Valadão
Unidade Acadêmica, Geociências 
Instituição, UnB
Orientador (a), DEBORA PASSOS DE ARAUJO
Introdução," O Projeto de pesquisa proposto refere-se ao estudo do kimberlito Juina-5, MT. Os kimberlitos são rochas formados por magmas ultrabásicos ricos em voláteis, gerados em grande profundidades no manto superior, que ascendem `a superfície com alta velocidade (~ 30km/h). O caráter explosivo e a grande velocidade de ascenção permitem que estes magmas amostrem rochas (xenólitos) e minerais mantélicos (xenocristais) e que os mesmos tenham alto grau de preservação no magma. O principal mineral que os kimberlitos podem transportar são diamantes, são formados no manto terrestre, em profundidades maiores que 130 km. Os diamantes que ocorrem no kimberlito Juina-5 tem grande destaque na literatura uma vez que parte deles é proveniente de profundidades não usuais para diamante, como zona de transição (420 a 660km) e manto inferior (<660km). Tais diamantes tem sido extensamente investigados na literatura mas pouca atenção tem sido dada aos kimberlitos que os transportam. O estudo do kimberlito Juina-5"
Metodologia, Os furos de sonda do kimberlito Juina-5 foram examinados para xenólitos e xenocristais de granada e clinopiroxênio. As amostras foram quebradas e cuidadosamente investigada em lupa petrográfica para separação dos minerais citados acima. Os grão selecionados foram montados em resina e analisados em microssonda eletrônica no Instituo de Geociências.
Resultados," Os resultados foram obtidos a partir de 112 grãos de granada e 84 grãos de clinopiroxênio. Dos 112 grãos de granada segundo a classificação proposta por Grutter et al. (2004) (figura 2), 96 foram classificados como lherzolíticas (G9), 3 são eclogíticas (G3), 6 são granadas piroxeníticas (G5) e 7 são megacristalinas (G1). As granadas têm #mg entre 0.42 a 0.84, CaO varia de 4.2 a 7.4 wt% e Cr2O3 entre 0.07 a 6.1 wt%. São em sua maioria piropos e alguns poucos grãos. Os grãos de clinopiroxênio são Cr-diopsídio com #mg (Mg/(Mg+Fet)) variando de"
"0.89 a 0.93, Cr2O3 de 0.7 a 2.3 wt%, CaO de 17.9 a 22.8 wt% e Na2O de 1.1 a 4 wt%. TiO2 constitui menos de 0.6 wt% e  K2O menos que",TituloTrabalho
"0.03 wt%. Em um diagrama Cr2O3 vs Al2O3, a maioria dos grãos de clinopiroxênio mostra paragênese compatível com granada peridotitos cratônicos.",TituloTrabalho
Conclusão," Os resultados foram obtidos a partir de 112 grãos de granada e 84 grãos de clinopiroxênio. Dos 112 grãos de granada segundo a classificação proposta por Grutter et al. (2004) (figura 2), 96 foram classificados como lherzolíticas (G9), 3 são eclogíticas (G3), 6 são granadas piroxeníticas (G5) e 7 são megacristalinas (G1). As granadas têm #mg entre 0.42 a 0.84, CaO varia de 4.2 a 7.4 wt% e Cr2O3 entre 0.07 a 6.1 wt%. São em sua maioria piropos e alguns poucos grãos. Os grãos de clinopiroxênio são Cr-diopsídio com #mg (Mg/(Mg+Fet)) variando de"
"0.89 a 0.93, Cr2O3 de 0.7 a 2.3 wt%, CaO de 17.9 a 22.8 wt% e Na2O de 1.1 a 4 wt%. TiO2 constitui menos de 0.6 wt% e  K2O menos que",TituloTrabalho
"0.03 wt%. Em um diagrama Cr2O3 vs Al2O3, a maioria dos grãos de clinopiroxênio mostra paragênese compatível com granada peridotitos cratônicos.",TituloTrabalho
Palavras-Chave, kimberlito Juina-5 xenocristais granada clinopiroxênio diamante 
Colaboradores,
CARACTERIZAÇÃO FÍSICO-QÍMICA E MICROBIOLÓGICA DA FARINHA FINA DESENGORDURADA DE AMÊNDOAS DE BARU (Dipteryx alata Vog).,TituloTrabalho
Bolsista, LARIZA FRANÇA DE SOUSA E SÁ
Unidade Acadêmica, Nutrição 
Instituição, UCB
Orientador (a), MARILEUSA DOSOLINA CHIARELLO
Introdução," O bioma cerrado está entre os mais ameaçados do mundo (SANTOS et al., 2012). Sendo rico em sua fauna e flora, apresentando grande biodiversidade (MARTINS et al., 2009). Com flora bastante diversificada contem inúmeras espécies vegetais que geram alto potencial econômico alem de utilização para fins medicinais e nutricionais (CAMAMORI aput ÁVILA et al.,2009). O barueiro (Dipteryx alata Vog.) pertence a família Leguminosae sendo um vegetal arbóreo com várias denominações populares: barujó, baruzeiro, baruí, coco-feijão e cumbaru (VERA & SOUZA, 2009). Esta espécie pode contribuir para a preservação da biodiversidade do bioma cerrado graças ao seu uso sustentável sendo um produto com boa qualidade nutricional, alta produtividade e de fácil armazenamento (SANO et al., 2004). O presente trabalho teve como objetivo a caracterizaçãO físico-química e microbiológica da farinha fina desengordurada de baru."
